VusersNumber,URL,StartTime,EndTime,ResponseTime[ms]
1,http://httpbin.org/get,2024-10-16-23:51:44:065,2024-10-16-23:51:44:623,558.309
1,http://httpbin.org/post,2024-10-16-23:51:44:626,2024-10-16-23:51:45:059,432.809
1,http://httpbin.org/put,2024-10-16-23:51:45:060,2024-10-16-23:51:45:612,552.819
1,http://httpbin.org/get,2024-10-16-23:51:45:614,2024-10-16-23:51:46:138,524.014
1,http://httpbin.org/post,2024-10-16-23:51:46:138,2024-10-16-23:51:46:675,536.482
1,http://httpbin.org/put,2024-10-16-23:51:46:675,2024-10-16-23:51:47:536,860.748
1,http://httpbin.org/get,2024-10-16-23:51:47:536,2024-10-16-23:51:48:645,1108.788
1,http://httpbin.org/post,2024-10-16-23:51:48:646,2024-10-16-23:51:49:806,1160.543
1,http://httpbin.org/put,2024-10-16-23:51:49:807,2024-10-16-23:51:50:352,544.931
1,http://httpbin.org/get,2024-10-16-23:51:50:359,2024-10-16-23:51:50:966,606.489
1,http://httpbin.org/post,2024-10-16-23:51:50:967,2024-10-16-23:51:51:500,533.246
1,http://httpbin.org/put,2024-10-16-23:51:51:500,2024-10-16-23:51:52:032,531.229
1,http://httpbin.org/get,2024-10-16-23:51:52:032,2024-10-16-23:51:52:511,478.219
1,http://httpbin.org/post,2024-10-16-23:51:52:512,2024-10-16-23:51:53:065,553.305
1,http://httpbin.org/put,2024-10-16-23:51:53:066,2024-10-16-23:51:53:488,422.067
1,http://httpbin.org/get,2024-10-16-23:51:53:489,2024-10-16-23:51:54:038,549.446
1,http://httpbin.org/post,2024-10-16-23:51:54:039,2024-10-16-23:51:54:574,535.284
1,http://httpbin.org/put,2024-10-16-23:51:54:575,2024-10-16-23:51:55:121,545.786
1,http://httpbin.org/get,2024-10-16-23:51:55:125,2024-10-16-23:51:55:671,545.635
1,http://httpbin.org/post,2024-10-16-23:51:55:672,2024-10-16-23:51:56:081,409.456
1,http://httpbin.org/get,2024-10-16-23:51:55:126,2024-10-16-23:51:56:190,1064.421
1,http://httpbin.org/put,2024-10-16-23:51:56:082,2024-10-16-23:51:56:628,545.382
1,http://httpbin.org/post,2024-10-16-23:51:56:192,2024-10-16-23:51:56:737,545.804
1,http://httpbin.org/put,2024-10-16-23:51:56:739,2024-10-16-23:51:57:173,434.289
1,http://httpbin.org/get,2024-10-16-23:51:56:628,2024-10-16-23:51:57:177,548.885
1,http://httpbin.org/post,2024-10-16-23:51:57:178,2024-10-16-23:51:57:962,783.436
1,http://httpbin.org/get,2024-10-16-23:51:57:175,2024-10-16-23:51:58:135,960.479
1,http://httpbin.org/put,2024-10-16-23:51:57:963,2024-10-16-23:51:58:509,545.818
1,http://httpbin.org/post,2024-10-16-23:51:58:137,2024-10-16-23:51:58:662,525.912
1,http://httpbin.org/put,2024-10-16-23:51:58:663,2024-10-16-23:51:59:490,826.476
1,http://httpbin.org/get,2024-10-16-23:51:58:509,2024-10-16-23:51:59:521,1011.153
1,http://httpbin.org/get,2024-10-16-23:51:59:491,2024-10-16-23:52:00:039,547.672
1,http://httpbin.org/post,2024-10-16-23:51:59:521,2024-10-16-23:52:00:055,533.785
1,http://httpbin.org/post,2024-10-16-23:52:00:040,2024-10-16-23:52:00:465,425.613
1,http://httpbin.org/put,2024-10-16-23:52:00:466,2024-10-16-23:52:01:013,546.926
1,http://httpbin.org/put,2024-10-16-23:52:00:055,2024-10-16-23:52:01:062,1006.830
1,http://httpbin.org/get,2024-10-16-23:52:01:063,2024-10-16-23:52:01:473,410.032
1,http://httpbin.org/post,2024-10-16-23:52:01:474,2024-10-16-23:52:02:005,530.821
1,http://httpbin.org/get,2024-10-16-23:52:01:014,2024-10-16-23:52:02:415,1401.268
1,http://httpbin.org/post,2024-10-16-23:52:02:416,2024-10-16-23:52:02:949,532.808
1,http://httpbin.org/put,2024-10-16-23:52:02:950,2024-10-16-23:52:03:365,415.778
1,http://httpbin.org/get,2024-10-16-23:52:03:366,2024-10-16-23:52:03:784,417.399
1,http://httpbin.org/put,2024-10-16-23:52:02:006,2024-10-16-23:52:04:023,2017.204
1,http://httpbin.org/post,2024-10-16-23:52:03:785,2024-10-16-23:52:04:327,542.095
1,http://httpbin.org/get,2024-10-16-23:52:04:024,2024-10-16-23:52:04:573,549.082
1,http://httpbin.org/put,2024-10-16-23:52:04:328,2024-10-16-23:52:04:744,416.079
1,http://httpbin.org/post,2024-10-16-23:52:04:573,2024-10-16-23:52:05:107,533.890
1,http://httpbin.org/get,2024-10-16-23:52:04:745,2024-10-16-23:52:05:280,534.859
1,http://httpbin.org/put,2024-10-16-23:52:05:108,2024-10-16-23:52:05:521,413.181
1,http://httpbin.org/post,2024-10-16-23:52:05:280,2024-10-16-23:52:08:260,2979.406
1,http://httpbin.org/put,2024-10-16-23:52:08:261,2024-10-16-23:52:09:907,1646.021
